[certificateholder_id],[certificateholder_name],[crop],[license_number],[start_date_license],[end_date_license],[license_standard],[license_status],[scope],[region],[country]
RA_00023822107,Equatorial Traders Ltd,Coffee,RALI23-024208,4/15/2024,4/14/2025,Supply Chain,Granted,Single Site,Europe,United Kingdom of Great Britain and Northern Ireland (the)
RA_00073082201,"Federacion Nacional de Cafeteros de Colombia, Bloque 2",Coffee,RALI24-026857,8/26/2024,8/25/2025,Supply Chain,Granted,Multi Site,Latin America,Colombia
RA_00023872107,Zuka Green Coffee (Pty) Ltd,Coffee,RALI23-021879,3/22/2024,3/21/2025,Supply Chain,Granted,Single Site,Africa,South Africa
RA_00163472407,Agropecuaria Santa Fe de Melchora S.A,Coffee,RALI24-030795,11/25/2024,11/24/2025,Farming,Granted,Single Farm,Latin America,Nicaragua
RA_00052012110,COOPERATIVA AGRARIA CAFETALERA BAGUA GRANDE LTDA.,Coffee,RALI24-028792,8/20/2024,8/19/2025,Supply Chain,Granted,Single Site,Latin America,Peru
RA_00010322105,INTIMEX BUON MA THUOT,Coffee,RALI24-029188,11/1/2024,10/31/2025,Farming & Supply Chain,Granted,Group Of Small Farms,Asia and Pacific,Viet Nam
RA_00170642411,Arabigos Finos de Nicaragua_Exportación,Coffee,RALI24-034073,9/10/2024,12/9/2025,Supply Chain,Granted,Single Site,Latin America,Nicaragua
RA_00075992201,SOLCAFE EXPORT S. DE R.L. DE C.V.,Coffee,RALI24-031993,2/19/2025,2/18/2026,Supply Chain,Granted,Single Site,Latin America,Honduras
RA_00155522403,Pedro Humberto Veloso - Palmeira,Coffee,RALI24-027056,8/5/2024,8/4/2025,Farming,Granted,Single Farm,Latin America,Brazil
RA_00105262206,J. Th. Douque's Koffie B.V.,Coffee,RALI24-028703,10/14/2024,10/13/2025,Supply Chain,Granted,Single Site,Europe,Netherlands (the)
RA_00080032202,PONTAL ARMAZENS GERAIS LTDA,Coffee,RALI24-026921,7/9/2024,7/8/2025,Supply Chain,Granted,Single Site,Latin America,Brazil
RA_00137312305,INDUSTRIAS MB LOS INKAS S.A.C.,Coffee,RALI24-033689,2/17/2025,2/16/2026,Supply Chain,Granted,Single Site,Latin America,Peru
